player_name,age,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,Pos,Tm
Brandon Sampson,21,14,2,214,28,60,0.4666666666666667,11,29,0.3793103448275862,17,31,0.5483870967741935,0.5583333333333333,4,6,0.6666666666666666,3,13,16,10,8,3,12,19,71,SG,CHI
JaKarr Sampson,25,4,0,127,29,54,0.5370370370370371,5,14,0.35714285714285715,24,40,0.6,0.5833333333333334,17,21,0.8095238095238095,5,27,32,4,4,3,4,8,80,SF,CHI
Tomas Satoransky,27,80,54,2164,257,530,0.4849056603773585,64,162,0.3950617283950617,193,368,0.5244565217391305,0.5452830188679245,131,160,0.81875,82,197,279,399,82,13,120,172,709,PG,WAS
Dennis Schroder,25,79,14,2314,457,1104,0.41394927536231885,124,364,0.34065934065934067,333,740,0.45,0.4701086956521739,186,227,0.8193832599118943,38,246,284,323,65,12,172,189,1224,PG,OKC
Mike Scott,30,158,6,2790,336,840,0.4,202,504,0.4007936507936508,134,336,0.39880952380952384,0.5202380952380953,44,66,0.6666666666666666,86,466,552,132,52,26,88,312,918,PF,TOT
Thabo Sefolosha,34,50,2,609,71,149,0.47651006711409394,34,78,0.4358974358974359,37,71,0.5211267605633803,0.5906040268456376,14,22,0.6363636363636364,8,115,123,27,43,5,25,41,190,SF,UTA
Wayne Selden,24,150,26,2878,392,966,0.4057971014492754,110,348,0.3160919540229885,282,618,0.4563106796116505,0.46273291925465837,134,184,0.7282608695652174,74,286,360,218,66,26,158,262,1028,SG,TOT
Collin Sexton,20,82,72,2605,519,1206,0.43034825870646765,119,296,0.40202702702702703,400,910,0.43956043956043955,0.4796849087893864,214,255,0.8392156862745098,57,179,236,243,44,6,185,186,1371,PG,CLE
Landry Shamet,21,158,54,3604,480,1114,0.43087971274685816,334,792,0.4217171717171717,146,322,0.453416149068323,0.5807899461400359,150,186,0.8064516129032258,42,226,268,234,74,20,90,310,1444,SG,TOT
Iman Shumpert,28,124,82,2962,334,892,0.3744394618834081,190,546,0.34798534798534797,144,346,0.4161849710982659,0.48094170403587444,72,90,0.8,54,312,366,224,118,48,100,254,930,SG,TOT
Pascal Siakam,24,80,79,2548,519,945,0.5492063492063493,79,214,0.3691588785046729,440,731,0.6019151846785226,0.591005291005291,237,302,0.7847682119205298,124,425,549,248,73,52,154,241,1354,PF,TOR
